Size,Layer,Tc,Cv_max,Energy_at_Tc,M2_at_Tc,Cv_low_T,Cv_high_T,M2_low_T,M2_high_T,N_points
8,1,2.000000,2.836578,-2.707594,0.615985,0.006159,1.809914,0.999873,0.758927,136
8,2,2.000000,3.390401,-2.671563,0.599814,0.004448,1.921770,0.999912,0.761008,136
8,3,2.000000,3.802188,-2.725719,0.629756,0.007138,1.903559,0.999852,0.759853,136
16,1,2.000000,3.111631,-2.793185,0.633844,0.006405,1.953134,0.999875,0.754984,142
16,2,2.000000,3.270122,-2.791083,0.636555,0.005451,1.944662,0.999883,0.755215,142
16,3,2.000000,3.341543,-2.800599,0.638992,0.007255,1.914159,0.999843,0.753338,142
24,1,2.000000,2.884634,-2.828199,0.646613,0.004021,1.827347,0.999917,0.769318,148
24,2,2.000000,3.060221,-2.829906,0.643815,0.004322,1.838625,0.999904,0.766053,148
24,3,2.000000,2.965401,-2.741873,0.602113,0.005149,1.985607,0.999891,0.735796,148
32,1,0.500000,2949.736000,-2.070785,0.999705,1732.379033,1.302355,0.996407,0.007584,151
32,2,0.500000,2965.884000,-2.031493,0.999726,1731.541867,1.448743,0.996574,0.006710,151
32,3,0.500000,2935.495000,-2.091014,0.999836,1729.859333,1.377153,0.996651,0.007815,151
