# Enhanced Quasi-3D Monte Carlo Simulation
# Timestamp: 20250719_003802
# Spin model: cube (8 states - cube vertices)
# Algorithm: wolff
# Theoretical Tc (8-state Potts): ~0.751
# Temperature range: 0.1-1.5 (optimized for critical region)
# Layer: 2/3
# System size: 16x16x3, Total sites: 768
# Spin vectors: 8 cube vertices (±1,±1,±1)/√3
#
# Temperature          M^2          M^4          G^2          G^4       Energy           Cv         Corr
5.000000e-001 1.000000e+000 1.000000e+000 5.000000e-001 5.000000e-001 -4.000000e+000 0.000000e+000 0.000000e+000
5.100000e-001 1.000000e+000 1.000000e+000 5.000000e-001 5.000000e-001 -4.000000e+000 0.000000e+000 0.000000e+000
5.200000e-001 9.999995e-001 9.999990e-001 4.999997e-001 4.999997e-001 -3.999998e+000 8.217866e-005 8.035627e+004
5.300000e-001 9.999943e-001 9.999886e-001 4.999971e-001 4.999971e-001 -3.999977e+000 8.697401e-004 2.422826e+004
5.400000e-001 1.000000e+000 1.000000e+000 5.000000e-001 5.000000e-001 -4.000000e+000 0.000000e+000 0.000000e+000
5.500000e-001 9.999979e-001 9.999959e-001 4.999990e-001 4.999990e-001 -3.999992e+000 2.937888e-004 4.017810e+004
5.600000e-001 9.999979e-001 9.999959e-001 4.999990e-001 4.999990e-001 -3.999992e+000 2.833900e-004 4.017810e+004
5.700000e-001 1.000000e+000 1.000000e+000 5.000000e-001 5.000000e-001 -4.000000e+000 0.000000e+000 0.000000e+000
5.800000e-001 9.999886e-001 9.999773e-001 4.999943e-001 4.999943e-001 -3.999954e+000 1.451698e-003 1.713192e+004
5.900000e-001 9.999979e-001 9.999959e-001 4.999990e-001 4.999990e-001 -3.999992e+000 2.553034e-004 4.017810e+004
6.000000e-001 9.999984e-001 9.999969e-001 4.999992e-001 4.999992e-001 -3.999994e+000 1.851574e-004 4.639369e+004
6.100000e-001 9.999787e-001 9.999577e-001 4.999893e-001 4.999893e-001 -3.999915e+000 2.443546e-003 1.254941e+004
6.200000e-001 9.999647e-001 9.999298e-001 4.999823e-001 4.999823e-001 -3.999858e+000 3.917725e-003 9.744459e+003
6.300000e-001 9.999673e-001 9.999350e-001 4.999836e-001 4.999836e-001 -3.999869e+000 3.516226e-003 1.012378e+004
6.400000e-001 9.999829e-001 9.999659e-001 4.999914e-001 4.999914e-001 -3.999931e+000 1.787410e-003 1.398811e+004
6.500000e-001 9.999767e-001 9.999536e-001 4.999883e-001 4.999883e-001 -3.999906e+000 2.361538e-003 1.197867e+004
6.600000e-001 9.999232e-001 9.998472e-001 4.999615e-001 4.999615e-001 -3.999692e+000 7.494378e-003 6.604992e+003
6.700000e-001 9.999383e-001 9.998772e-001 4.999690e-001 4.999690e-001 -3.999752e+000 5.855892e-003 7.366021e+003
6.800000e-001 9.999357e-001 9.998720e-001 4.999677e-001 4.999677e-001 -3.999742e+000 5.922299e-003 7.215975e+003
6.900000e-001 9.999658e-001 9.999319e-001 4.999828e-001 4.999828e-001 -3.999863e+000 3.070419e-003 9.891006e+003
7.000000e-001 9.999035e-001 9.998080e-001 4.999516e-001 4.999516e-001 -3.999613e+000 8.356925e-003 5.891724e+003
