	temp	m2	m4	g2	g4	e1	cv	corr
0	3.000000e-01	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	-2.000000e+00	0.000000e+00	4.382421e+16
1	3.050000e-01	9.999999e-01	9.999998e-01	9.999999e-01	9.999999e-01	-2.000000e+00	1.433263e-05	3.944179e+16
2	3.100000e-01	9.999996e-01	9.999991e-01	9.999995e-01	9.999995e-01	-1.999999e+00	5.086734e-05	3.944179e+16
3	3.150000e-01	9.999996e-01	9.999993e-01	9.999996e-01	9.999996e-01	-1.999999e+00	4.030879e-05	3.944179e+16
4	3.200000e-01	9.999999e-01	9.999998e-01	9.999999e-01	9.999999e-01	-2.000000e+00	1.302044e-05	3.944179e+16
5	3.250000e-01	9.999996e-01	9.999993e-01	9.999996e-01	9.999996e-01	-1.999999e+00	3.786759e-05	3.505937e+16
6	3.300000e-01	9.999984e-01	9.999969e-01	9.999984e-01	9.999984e-01	-1.999997e+00	1.550590e-04	3.067695e+16
7	3.350000e-01	9.999986e-01	9.999973e-01	9.999986e-01	9.999986e-01	-1.999997e+00	1.346296e-04	3.067695e+16
8	3.400000e-01	9.999970e-01	9.999942e-01	9.999970e-01	9.999970e-01	-1.999994e+00	2.767647e-04	2.191211e+16
9	3.450000e-01	9.999986e-01	9.999972e-01	9.999985e-01	9.999985e-01	-1.999997e+00	1.306814e-04	1.752968e+16
10	3.500000e-01	9.999990e-01	9.999980e-01	9.999990e-01	9.999990e-01	-1.999998e+00	9.069754e-05	2.191211e+16
11	3.550000e-01	9.999958e-01	9.999918e-01	9.999958e-01	9.999958e-01	-1.999991e+00	3.596318e-04	1.314726e+16
12	3.600000e-01	9.999979e-01	9.999959e-01	9.999979e-01	9.999979e-01	-1.999996e+00	1.748771e-04	1.314726e+16
13	3.650000e-01	9.999964e-01	9.999930e-01	9.999964e-01	9.999964e-01	-1.999993e+00	2.901907e-04	8.764842e+15
14	3.700000e-01	9.999935e-01	9.999872e-01	9.999934e-01	9.999934e-01	-1.999987e+00	5.168762e-04	7.103644e+03
15	3.750000e-01	9.999937e-01	9.999876e-01	9.999936e-01	9.999936e-01	-1.999987e+00	4.865763e-04	1.038496e+04
16	3.800000e-01	9.999956e-01	9.999913e-01	9.999955e-01	9.999955e-01	-1.999991e+00	3.323435e-04	1.314726e+16
17	3.850000e-01	9.999926e-01	9.999855e-01	9.999925e-01	9.999925e-01	-1.999985e+00	5.425501e-04	4.382421e+15
18	3.900000e-01	9.999928e-01	9.999859e-01	9.999927e-01	9.999927e-01	-1.999985e+00	5.112519e-04	5.971769e+03
19	3.950000e-01	9.999890e-01	9.999785e-01	9.999888e-01	9.999888e-01	-1.999978e+00	7.630803e-04	5.348311e+03
20	4.000000e-01	9.999898e-01	9.999800e-01	9.999896e-01	9.999896e-01	-1.999979e+00	6.914006e-04	4.382421e+15
21	4.050000e-01	9.999869e-01	9.999743e-01	9.999867e-01	9.999867e-01	-1.999973e+00	8.666916e-04	4.382421e+15
22	4.100000e-01	9.999815e-01	9.999638e-01	9.999813e-01	9.999813e-01	-1.999962e+00	1.189089e-03	4.382421e+15
23	4.150000e-01	9.999794e-01	9.999597e-01	9.999791e-01	9.999791e-01	-1.999958e+00	1.294730e-03	3.464282e+03
24	4.200000e-01	9.999730e-01	9.999471e-01	9.999725e-01	9.999725e-01	-1.999945e+00	1.659079e-03	2.985534e+03
25	4.250000e-01	9.999713e-01	9.999439e-01	9.999709e-01	9.999709e-01	-1.999942e+00	1.722901e-03	2.937623e+03
26	4.300000e-01	9.999681e-01	9.999375e-01	9.999676e-01	9.999676e-01	-1.999935e+00	1.868496e-03	2.723951e+03
27	4.350000e-01	9.999562e-01	9.999143e-01	9.999556e-01	9.999556e-01	-1.999911e+00	2.505217e-03	2.430700e+03
28	4.400000e-01	9.999594e-01	9.999205e-01	9.999588e-01	9.999588e-01	-1.999918e+00	2.276512e-03	2.382321e+03
29	4.450000e-01	9.999493e-01	9.999007e-01	9.999485e-01	9.999485e-01	-1.999897e+00	2.777924e-03	2.107829e+03
30	4.500000e-01	9.999412e-01	9.998848e-01	9.999402e-01	9.999402e-01	-1.999881e+00	3.151944e-03	1.940615e+03
31	4.550000e-01	9.999419e-01	9.998863e-01	9.999410e-01	9.999410e-01	-1.999882e+00	3.039156e-03	1.944078e+03
32	4.600000e-01	9.999181e-01	9.998396e-01	9.999167e-01	9.999167e-01	-1.999834e+00	4.202171e-03	1.625843e+03
33	4.650000e-01	9.999083e-01	9.998203e-01	9.999068e-01	9.999068e-01	-1.999814e+00	4.619704e-03	1.604481e+03
34	4.700000e-01	9.998888e-01	9.997823e-01	9.998869e-01	9.998869e-01	-1.999776e+00	5.493606e-03	1.390074e+03
35	4.750000e-01	9.998815e-01	9.997680e-01	9.998795e-01	9.998795e-01	-1.999761e+00	5.716676e-03	1.344739e+03
36	4.800000e-01	9.998737e-01	9.997526e-01	9.998716e-01	9.998716e-01	-1.999745e+00	5.943832e-03	1.305317e+03
37	4.850000e-01	9.998934e-01	9.997915e-01	9.998917e-01	9.998917e-01	-1.999786e+00	4.944392e-03	1.428296e+03
38	4.900000e-01	9.998613e-01	9.997285e-01	9.998591e-01	9.998591e-01	-1.999720e+00	6.278427e-03	1.248959e+03
39	4.950000e-01	9.998476e-01	9.997015e-01	9.998451e-01	9.998451e-01	-1.999691e+00	6.735083e-03	1.188445e+03
40	5.000000e-01	9.998180e-01	9.996436e-01	9.998150e-01	9.998150e-01	-1.999633e+00	7.887817e-03	1.102666e+03
41	5.050000e-01	9.997793e-01	9.995679e-01	9.997757e-01	9.997757e-01	-1.999554e+00	9.438843e-03	9.898380e+02
42	5.100000e-01	9.997568e-01	9.995239e-01	9.997528e-01	9.997529e-01	-1.999508e+00	1.013960e-02	9.419129e+02
43	5.150000e-01	9.997281e-01	9.994677e-01	9.997238e-01	9.997237e-01	-1.999449e+00	1.118682e-02	8.935977e+02
44	5.200000e-01	9.997161e-01	9.994444e-01	9.997114e-01	9.997114e-01	-1.999428e+00	1.151919e-02	8.649723e+02
45	5.250000e-01	9.996808e-01	9.993755e-01	9.996755e-01	9.996755e-01	-1.999359e+00	1.265402e-02	8.097056e+02
46	5.300000e-01	9.996372e-01	9.992899e-01	9.996312e-01	9.996312e-01	-1.999269e+00	1.407481e-02	7.620659e+02
47	5.350000e-01	9.996262e-01	9.992683e-01	9.996201e-01	9.996200e-01	-1.999246e+00	1.426849e-02	7.531791e+02
48	5.400000e-01	9.995604e-01	9.991397e-01	9.995534e-01	9.995532e-01	-1.999112e+00	1.651859e-02	6.966508e+02
49	5.450000e-01	9.995390e-01	9.990979e-01	9.995313e-01	9.995313e-01	-1.999072e+00	1.702428e-02	6.796274e+02
50	5.500000e-01	9.995177e-01	9.990560e-01	9.995098e-01	9.995099e-01	-1.999025e+00	1.734164e-02	6.653160e+02
51	5.550000e-01	9.994439e-01	9.989117e-01	9.994347e-01	9.994351e-01	-1.998879e+00	1.964583e-02	6.174510e+02
52	5.600000e-01	9.994088e-01	9.988432e-01	9.993989e-01	9.993990e-01	-1.998811e+00	2.049938e-02	5.945949e+02
53	5.650000e-01	9.993583e-01	9.987444e-01	9.993476e-01	9.993476e-01	-1.998707e+00	2.208956e-02	5.706833e+02
54	5.700000e-01	9.992911e-01	9.986127e-01	9.992796e-01	9.992799e-01	-1.998570e+00	2.371107e-02	5.462278e+02
55	5.750000e-01	9.992102e-01	9.984552e-01	9.991972e-01	9.991969e-01	-1.998412e+00	2.633171e-02	5.141907e+02
56	5.800000e-01	9.991460e-01	9.983299e-01	9.991321e-01	9.991322e-01	-1.998286e+00	2.793473e-02	4.908786e+02
57	5.850000e-01	9.991257e-01	9.982896e-01	9.991113e-01	9.991114e-01	-1.998242e+00	2.793000e-02	4.865985e+02
58	5.900000e-01	9.990250e-01	9.980927e-01	9.990086e-01	9.990093e-01	-1.998040e+00	3.058762e-02	4.619576e+02
59	5.950000e-01	9.989380e-01	9.979228e-01	9.989204e-01	9.989207e-01	-1.997865e+00	3.278658e-02	4.414888e+02
60	6.000000e-01	9.988651e-01	9.977800e-01	9.988460e-01	9.988465e-01	-1.997716e+00	3.439412e-02	4.277432e+02
